Super-Aggregation,Aggregation Level,Year,Sample Year End Date,Metric,Result Category,Concern Category,Proportion 2007,Lower Bound 2007,Upper Bound 2007,Change Analysis,Detectable,Proportion 2012,Lower Bound 2012,Upper Bound 2012,Proportions Difference,Lower Bound Difference,Upper Bound Difference,DiffEst,LB2-LB1,Significant
Major_Basins,Souris-Red-Rainy Region,2007,12/31/07,Total_Nitrogen,Good,Good,0.24,0.06,0.42,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
Major_Basins,Souris-Red-Rainy Region,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.52,0.23,0.81,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
Major_Basins,Souris-Red-Rainy Region,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.24,0.06,0.42,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
Major_Basins,Souris-Red-Rainy Region,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
Major_Basins,South-Atlantic Region,2007,12/31/07,Total_Nitrogen,Good,Good,0.40,0.24,0.56,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
Major_Basins,South-Atlantic Region,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.09,0.00,0.18,Yes,No,0.29,0.26,0.32,-0.01,-0.05,0.03,0.098,0.079,Yes
Major_Basins,South-Atlantic Region,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.50,0.33,0.68,Yes,No,0.22,0.2,0.25,0.02,-0.02,0.06,0.009,0.087,Yes
Major_Basins,South-Atlantic Region,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,Yes,0.43,0.4,0.46,-0.1,-0.15,-0.06,0.072,0.082,No
Major_Basins,Upper Colorado Region,2007,12/31/07,Total_Nitrogen,Good,Good,0.78,0.58,0.98,Yes,Yes,0.17,0.14,0.19,-0.1,-0.14,-0.07,0.004,0.011,No
Major_Basins,Upper Colorado Region,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.14,0.00,0.31,Yes,Yes,0.4,0.37,0.43,0.21,0.17,0.25,0.077,0.085,No
Major_Basins,Upper Colorado Region,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.09,0.01,0.17,Yes,Yes,0.6,0.57,0.63,0.02,-0.02,0.06,0.03,0.084,Yes
Major_Basins,Upper Colorado Region,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,Yes,0.26,0.23,0.29,0.02,-0.02,0.06,0.058,0.005,Yes
Major_Basins,Upper Mississippi Region,2007,12/31/07,Total_Nitrogen,Good,Good,0.36,0.21,0.52,Yes,Yes,0.14,0.12,0.16,-0.04,-0.07,-0.01,0.057,0,Yes
Major_Basins,Upper Mississippi Region,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.40,0.24,0.56,Yes,No,0.46,0.43,0.49,0,-0.04,0.05,0.041,0.091,No
Major_Basins,Upper Mississippi Region,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.24,0.14,0.34,Yes,No,0.18,0.16,0.21,0,-0.03,0.04,0.061,0.013,No
Major_Basins,Upper Mississippi Region,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.35,0.32,0.38,-0.01,-0.05,0.03,0.027,0.011,No
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,No,0.61,0.58,0.64,0.02,-0.02,0.06,0.065,0.085,Yes
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.23,0.2,0.25,0.02,-0.01,0.06,0.08,0.087,Yes
Major_Basins,California Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,No,0.16,0.14,0.18,-0.04,-0.08,-0.01,0.022,0.052,Yes
Major_Basins,California Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.46,0.43,0.49,-0.01,-0.05,0.04,0.07,0.015,No
Major_Basins,Great Basin Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,No,0.19,0.17,0.22,-0.01,-0.04,0.03,0.078,0.07,No
Major_Basins,Great Basin Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.34,0.31,0.37,0.02,-0.02,0.06,0.039,0.095,No
Major_Basins,Great Lakes Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,No,0.34,0.31,0.37,-0.01,-0.05,0.03,0.032,0.032,Yes
Major_Basins,Great Lakes Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.47,0.44,0.5,-0.01,-0.05,0.03,0.086,0.037,Yes
Major_Basins,Lower Colorado Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,No,0.19,0.17,0.22,0.02,-0.01,0.05,0.1,0.035,Yes
Major_Basins,Lower Colorado Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,No,No,0.99,0.98,0.99,,,,0.028,0.069,Yes
Major_Basins,Lower Mississippi Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,No,No,0.01,0.01,0.02,,,,0.032,0.015,No
Major_Basins,Lower Mississippi Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,No,No,0,0,0,,,,0.083,0.083,No
Major_Basins,Mid-Atlantic Region,2007,12/31/07,Acidification,Good,Good,0.96,0.89,1.00,No,No,0.88,0.86,0.9,,,,0.04,0.009,No
Major_Basins,Mid-Atlantic Region,2007,12/31/07,Acidification,Fair-Low_ANC_Dep,Fair-Low_ANC_Dep,0.04,0.00,0.11,No,No,0.06,0.04,0.07,,,,0.016,0.052,Yes
Major_Basins,Mid-Atlantic Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,No,No,0.01,0.01,0.02,,,,0.012,0.003,Yes
Major_Basins,Missouri Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,No,No,0.05,0.03,0.06,,,,0.049,0.035,Yes
Major_Basins,Missouri Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.54,0.51,0.57,-0.02,-0.07,0.02,0.044,0.006,No
Major_Basins,New England Region,2007,12/31/07,Acidification,Good,Good,0.94,0.90,0.99,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
Major_Basins,New England Region,2007,12/31/07,Acidification,Fair-Low_ANC_Dep,Fair-Low_ANC_Dep,0.03,0.00,0.07,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
Major_Basins,New England Region,2007,12/31/07,Acidification,Natural_Organic_Acid,Natural_Organic_Acid,0.02,0.00,0.05,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
Major_Basins,New England Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
Major_Basins,Ohio-Tennessee Region,2007,12/31/07,Acidification,Good,Good,0.99,0.97,1.00,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
Major_Basins,Ohio-Tennessee Region,2007,12/31/07,Acidification,Poor-Acid_Mine,Poor-Acid_Mine,0.01,0.00,0.03,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
Major_Basins,Ohio-Tennessee Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
Major_Basins,Pacific Northwest Region,2007,12/31/07,Acidification,Good,Good,0.95,0.90,1.00,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
Major_Basins,Pacific Northwest Region,2007,12/31/07,Acidification,Fair-Low_ANC_Dep,Fair-Low_ANC_Dep,0.03,0.00,0.06,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
Major_Basins,Pacific Northwest Region,2007,12/31/07,Acidification,Natural_Organic_Acid,Natural_Organic_Acid,0.02,0.00,0.06,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
Major_Basins,Pacific Northwest Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
Major_Basins,Rio Grande-Texas-Gulf Region,2007,12/31/07,Acidification,Good,Good,1.00,0.99,1.00,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
Major_Basins,Rio Grande-Texas-Gulf Region,2007,12/31/07,Acidification,Poor-Acid_Mine,Poor-Acid_Mine,0.00,0.00,0.01,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
Major_Basins,Rio Grande-Texas-Gulf Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
Major_Basins,Souris-Red-Rainy Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
Major_Basins,Souris-Red-Rainy Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.29,0.26,0.32,-0.01,-0.05,0.03,0.098,0.079,Yes
Major_Basins,South-Atlantic Region,2007,12/31/07,Acidification,Good,Good,0.88,0.77,0.99,Yes,No,0.22,0.2,0.25,0.02,-0.02,0.06,0.009,0.087,Yes
Major_Basins,South-Atlantic Region,2007,12/31/07,Acidification,Fair-Low_ANC_Dep,Fair-Low_ANC_Dep,0.11,0.00,0.22,Yes,Yes,0.43,0.4,0.46,-0.1,-0.15,-0.06,0.072,0.082,No
Major_Basins,South-Atlantic Region,2007,12/31/07,Acidification,Natural_Organic_Acid,Natural_Organic_Acid,0.01,0.00,0.03,Yes,Yes,0.17,0.14,0.19,-0.1,-0.14,-0.07,0.004,0.011,No
Major_Basins,South-Atlantic Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,Yes,0.4,0.37,0.43,0.21,0.17,0.25,0.077,0.085,No
Major_Basins,Upper Colorado Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,Yes,0.6,0.57,0.63,0.02,-0.02,0.06,0.03,0.084,Yes
Major_Basins,Upper Colorado Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,Yes,0.26,0.23,0.29,0.02,-0.02,0.06,0.058,0.005,Yes
Major_Basins,Upper Mississippi Region,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,Yes,0.14,0.12,0.16,-0.04,-0.07,-0.01,0.057,0,Yes
Major_Basins,Upper Mississippi Region,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.46,0.43,0.49,0,-0.04,0.05,0.041,0.091,No
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.06,0.00,0.15,Yes,No,0.18,0.16,0.21,0,-0.03,0.04,0.061,0.013,No
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.94,0.85,1.00,Yes,No,0.35,0.32,0.38,-0.01,-0.05,0.03,0.027,0.011,No
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.61,0.58,0.64,0.02,-0.02,0.06,0.065,0.085,Yes
Major_Basins,California Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.01,0.00,0.03,Yes,No,0.23,0.2,0.25,0.02,-0.01,0.06,0.08,0.087,Yes
Major_Basins,California Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.99,0.97,1.00,Yes,No,0.16,0.14,0.18,-0.04,-0.08,-0.01,0.022,0.052,Yes
Major_Basins,California Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.46,0.43,0.49,-0.01,-0.05,0.04,0.07,0.015,No
Major_Basins,Great Basin Region,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.01,0.00,0.03,Yes,No,0.19,0.17,0.22,-0.01,-0.04,0.03,0.078,0.07,No
Major_Basins,Great Basin Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.02,0.00,0.05,Yes,No,0.34,0.31,0.37,0.02,-0.02,0.06,0.039,0.095,No
Major_Basins,Great Basin Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.91,0.85,0.97,Yes,No,0.34,0.31,0.37,-0.01,-0.05,0.03,0.032,0.032,Yes
Major_Basins,Great Basin Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.06,0.01,0.11,Yes,No,0.47,0.44,0.5,-0.01,-0.05,0.03,0.086,0.037,Yes
Major_Basins,Great Basin Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.19,0.17,0.22,0.02,-0.01,0.05,0.1,0.035,Yes
Major_Basins,Great Lakes Region,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.04,0.00,0.08,No,,0.99,0.98,0.99,,,,0.028,0.069,Yes
Major_Basins,Great Lakes Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.01,0.00,0.03,No,,0.01,0.01,0.02,,,,0.032,0.015,No
Major_Basins,Great Lakes Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.95,0.90,1.00,No,,0,0,0,,,,0.083,0.083,No
Major_Basins,Great Lakes Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,No,,0.88,0.86,0.9,,,,0.04,0.009,No
Major_Basins,Lower Colorado Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.04,0.00,0.12,No,,0.06,0.04,0.07,,,,0.016,0.052,Yes
Major_Basins,Lower Colorado Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.87,0.72,1.00,No,,0.01,0.01,0.02,,,,0.012,0.003,Yes
Major_Basins,Lower Colorado Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.09,0.00,0.23,No,,0.05,0.03,0.06,,,,0.049,0.035,Yes
Major_Basins,Lower Colorado Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.54,0.51,0.57,-0.02,-0.07,0.02,0.044,0.006,No
Major_Basins,Lower Mississippi Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.44,0.02,0.85,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
Major_Basins,Lower Mississippi Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.55,0.14,0.95,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
Major_Basins,Lower Mississippi Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.01,0.00,0.04,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
Major_Basins,Lower Mississippi Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
Major_Basins,Mid-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.01,0.00,0.02,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
Major_Basins,Mid-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.00,0.00,0.01,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
Major_Basins,Mid-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.97,0.95,1.00,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
Major_Basins,Mid-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.02,0.00,0.04,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
Major_Basins,Mid-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
Major_Basins,Missouri Region,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.01,0.00,0.02,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
Major_Basins,Missouri Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.02,0.00,0.04,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
Major_Basins,Missouri Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.89,0.83,0.96,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
Major_Basins,Missouri Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.08,0.02,0.14,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
Major_Basins,Missouri Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
Major_Basins,New England Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.08,0.00,0.18,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
Major_Basins,New England Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.92,0.82,1.00,Yes,No,0.29,0.26,0.32,-0.01,-0.05,0.03,0.098,0.079,Yes
Major_Basins,New England Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.22,0.2,0.25,0.02,-0.02,0.06,0.009,0.087,Yes
Major_Basins,Ohio-Tennessee Region,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.06,0.00,0.12,Yes,Yes,0.43,0.4,0.46,-0.1,-0.15,-0.06,0.072,0.082,No
Major_Basins,Ohio-Tennessee Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.06,0.00,0.12,Yes,Yes,0.17,0.14,0.19,-0.1,-0.14,-0.07,0.004,0.011,No
Major_Basins,Ohio-Tennessee Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.87,0.77,0.97,Yes,Yes,0.4,0.37,0.43,0.21,0.17,0.25,0.077,0.085,No
Major_Basins,Ohio-Tennessee Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.01,0.00,0.04,Yes,Yes,0.6,0.57,0.63,0.02,-0.02,0.06,0.03,0.084,Yes
Major_Basins,Ohio-Tennessee Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,Yes,0.26,0.23,0.29,0.02,-0.02,0.06,0.058,0.005,Yes
Major_Basins,Pacific Northwest Region,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.04,0.00,0.08,Yes,Yes,0.14,0.12,0.16,-0.04,-0.07,-0.01,0.057,0,Yes
Major_Basins,Pacific Northwest Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.02,0.00,0.04,Yes,No,0.46,0.43,0.49,0,-0.04,0.05,0.041,0.091,No
Major_Basins,Pacific Northwest Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.88,0.81,0.95,Yes,No,0.18,0.16,0.21,0,-0.03,0.04,0.061,0.013,No
Major_Basins,Pacific Northwest Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.06,0.01,0.11,Yes,No,0.35,0.32,0.38,-0.01,-0.05,0.03,0.027,0.011,No
Major_Basins,Pacific Northwest Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.61,0.58,0.64,0.02,-0.02,0.06,0.065,0.085,Yes
Major_Basins,Rio Grande-Texas-Gulf Region,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.00,0.00,0.01,Yes,No,0.23,0.2,0.25,0.02,-0.01,0.06,0.08,0.087,Yes
Major_Basins,Rio Grande-Texas-Gulf Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.25,0.03,0.47,Yes,No,0.16,0.14,0.18,-0.04,-0.08,-0.01,0.022,0.052,Yes
Major_Basins,Rio Grande-Texas-Gulf Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.75,0.53,0.97,Yes,No,0.46,0.43,0.49,-0.01,-0.05,0.04,0.07,0.015,No
Major_Basins,Rio Grande-Texas-Gulf Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.19,0.17,0.22,-0.01,-0.04,0.03,0.078,0.07,No
Major_Basins,Souris-Red-Rainy Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),1.00,1.00,1.00,Yes,No,0.34,0.31,0.37,0.02,-0.02,0.06,0.039,0.095,No
Major_Basins,Souris-Red-Rainy Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.34,0.31,0.37,-0.01,-0.05,0.03,0.032,0.032,Yes
Major_Basins,South-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.10,0.00,0.22,Yes,No,0.47,0.44,0.5,-0.01,-0.05,0.03,0.086,0.037,Yes
Major_Basins,South-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.12,0.01,0.23,Yes,No,0.19,0.17,0.22,0.02,-0.01,0.05,0.1,0.035,Yes
Major_Basins,South-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.76,0.62,0.91,No,No,0.99,0.98,0.99,,,,0.028,0.069,Yes
Major_Basins,South-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.02,0.00,0.03,No,No,0.01,0.01,0.02,,,,0.032,0.015,No
Major_Basins,South-Atlantic Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,No,No,0,0,0,,,,0.083,0.083,No
Major_Basins,Upper Colorado Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.00,0.00,0.00,No,No,0.88,0.86,0.9,,,,0.04,0.009,No
Major_Basins,Upper Colorado Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.93,0.87,0.99,No,No,0.06,0.04,0.07,,,,0.016,0.052,Yes
Major_Basins,Upper Colorado Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.07,0.01,0.12,No,No,0.01,0.01,0.02,,,,0.012,0.003,Yes
Major_Basins,Upper Colorado Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,No,No,0.05,0.03,0.06,,,,0.049,0.035,Yes
Major_Basins,Upper Mississippi Region,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.00,0.00,0.00,Yes,No,0.54,0.51,0.57,-0.02,-0.07,0.02,0.044,0.006,No
Major_Basins,Upper Mississippi Region,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.10,0.00,0.21,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
Major_Basins,Upper Mississippi Region,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.89,0.78,1.00,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
Major_Basins,Upper Mississippi Region,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.00,0.00,0.00,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
Major_Basins,Upper Mississippi Region,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Trophic_State,Oligotrophic,Oligotrophic,0.07,0.01,0.13,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Trophic_State,Mesotrophic,Mesotrophic,0.23,0.07,0.39,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Trophic_State,Eutrophic,Eutrophic,0.24,0.06,0.41,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Trophic_State,Hypereutrophic,Hypereutrophic,0.46,0.19,0.73,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
Major_Basins,Arkansas-White-Red Region,2007,12/31/07,Trophic_State,Total,Total,1.00,1.00,1.00,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
Major_Basins,California Region,2007,12/31/07,Trophic_State,Oligotrophic,Oligotrophic,0.16,0.02,0.29,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
Major_Basins,California Region,2007,12/31/07,Trophic_State,Mesotrophic,Mesotrophic,0.32,0.15,0.49,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
Major_Basins,California Region,2007,12/31/07,Trophic_State,Eutrophic,Eutrophic,0.31,0.11,0.51,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
Major_Basins,California Region,2007,12/31/07,Trophic_State,Hypereutrophic,Hypereutrophic,0.21,0.05,0.38,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
Major_Basins,California Region,2007,12/31/07,Trophic_State,Total,Total,1.00,1.00,1.00,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
Major_Basins,Great Basin Region,2007,12/31/07,Trophic_State,Oligotrophic,Oligotrophic,0.35,0.18,0.53,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
